  E              f1 
   keV           e atom-1
1.6716946E+00  1.1054E+01
1.6800531E+00  1.0988E+01
1.6884534E+00  1.0922E+01
1.6968956E+00  1.0857E+01
1.7053801E+00  1.0792E+01
1.7139070E+00  1.0728E+01
1.7224766E+00  1.0665E+01
1.7310889E+00  1.0602E+01
1.7397444E+00  1.0539E+01
1.7484431E+00  1.0477E+01
1.7571853E+00  1.0415E+01
1.7659712E+00  1.0354E+01
1.7748011E+00  1.0294E+01
1.7836751E+00  1.0234E+01
1.7925935E+00  1.0174E+01
1.8015565E+00  1.0115E+01
1.8105642E+00  1.0057E+01
1.8196171E+00  9.9984E+00
1.8287151E+00  9.9408E+00
1.8378587E+00  9.8836E+00
1.8470480E+00  9.8269E+00
1.8562833E+00  9.7706E+00
1.8655647E+00  9.7148E+00
1.8748925E+00  9.6594E+00
1.8842670E+00  9.6045E+00
1.8936883E+00  9.5500E+00
1.9031567E+00  9.4960E+00
1.9126725E+00  9.4424E+00
1.9222359E+00  9.3891E+00
1.9318471E+00  9.3363E+00
1.9415063E+00  9.2839E+00
1.9512138E+00  9.2319E+00
1.9609699E+00  9.1803E+00
1.9707747E+00  9.1291E+00
1.9806286E+00  9.0783E+00
1.9905318E+00  9.0279E+00
2.0004844E+00  8.9779E+00
2.0104868E+00  8.9283E+00
2.0205393E+00  8.8791E+00
2.0306420E+00  8.8303E+00
2.0407952E+00  8.7819E+00
2.0509992E+00  8.7338E+00
2.0612542E+00  8.6861E+00
2.0715604E+00  8.6388E+00
2.0819182E+00  8.5908E+00
2.0923278E+00  8.5423E+00
2.1027895E+00  8.4942E+00
2.1133034E+00  8.4464E+00
2.1210653E+00  8.4116E+00
2.1221346E+00  2.5721E+01
2.1238699E+00  2.5691E+01
2.1344893E+00  2.5509E+01
2.1451617E+00  2.5328E+01
2.1558875E+00  2.5148E+01
2.1666670E+00  2.4970E+01
2.1775003E+00  2.4793E+01
2.1883878E+00  2.4618E+01
2.1993297E+00  2.4444E+01
2.2011954E+00  2.4415E+01
2.2026046E+00  3.5850E+01
2.2103264E+00  3.5668E+01
2.2213780E+00  3.5410E+01
2.2324849E+00  3.5154E+01
2.2436473E+00  3.4900E+01
2.2548656E+00  3.4648E+01
2.2661399E+00  3.4398E+01
2.2774706E+00  3.4149E+01
2.2888579E+00  3.3903E+01
2.3003022E+00  3.3659E+01
2.3118037E+00  3.3416E+01
2.3233628E+00  3.3176E+01
2.3349796E+00  3.2937E+01
2.3466545E+00  3.2700E+01
2.3583878E+00  3.2465E+01
2.3701797E+00  3.2231E+01
2.3820306E+00  3.2000E+01
2.3939407E+00  3.1770E+01
2.4059104E+00  3.1542E+01
2.4179400E+00  3.1316E+01
2.4300297E+00  3.1091E+01
2.4421798E+00  3.0868E+01
2.4543907E+00  3.0646E+01
2.4666627E+00  3.0425E+01
2.4789960E+00  3.0206E+01
2.4913910E+00  2.9989E+01
2.5038479E+00  2.9774E+01
2.5163672E+00  2.9560E+01
2.5289490E+00  2.9348E+01
